0.304461f, 0.506112f, 0.196076f,
0.437326f, 0.506112f, 0.245285f,
0.437326f, 0.506112f, 0.245285f,
0.38062f, 0.482367f, 0.230307f,
0.323914f, 0.458621f, 0.215328f,
0.562841f, 0.458621f, 0.228648f,
0.443378f, 0.458621f, 0.221988f,
0.323914f, 0.458621f, 0.215328f,
0.562841f, 0.458621f, 0.228648f,
0.600093f, 0.482367f, 0.221797f,
0.637344f, 0.506112f, 0.214946f,
0.437326f, 0.506112f, 0.245285f,
0.537335f, 0.506112f, 0.230116f,
0.637344f, 0.506112f, 0.214946f,
0.637344f, 0.506112f, 0.214946f,
0.600093f, 0.482367f, 0.221797f,
0.562841f, 0.458621f, 0.228648f,
0.751893f, 0.458621f, 0.165838f,
0.657367f, 0.458621f, 0.197243f,
0.562841f, 0.458621f, 0.228648f,
0.751893f, 0.458621f, 0.165838f,
0.783577f, 0.482367f, 0.157117f,
0.815262f, 0.506112f, 0.148397f,
0.637344f, 0.506112f, 0.214946f,
0.726303f, 0.506112f, 0.181671f,
0.815262f, 0.506112f, 0.148397f,
0.815262f, 0.506112f, 0.148397f,
0.783577f, 0.482367f, 0.157117f,
0.751893f, 0.458621f, 0.165838f,
0.875187f, 0.482367f, 0.124232f,
0.81354f, 0.470494f, 0.145035f,
0.751893f, 0.458621f, 0.165838f,
0.935113f, 0.458621f, 0.100068f,
0.843503f, 0.458621f, 0.132953f,
0.751893f, 0.458621f, 0.165838f,
0.935113f, 0.458621f, 0.100068f,
0.966218f, 0.482367f, 0.091106f,
0.997323f, 0.506112f, 0.082143f,
0.815262f, 0.506112f, 0.148397f,
0.906292f, 0.506112f, 0.11527f,
0.997323f, 0.506112f, 0.082143f,
0.997323f, 0.506112f, 0.082143f,
0.966218f, 0.482367f, 0.091106f,
0.935113f, 0.458621f, 0.100068f,
1.071148f, 0.482367f, 0.075625f,
1.003131f, 0.470494f, 0.087847f,
0.935113f, 0.458621f, 0.100068f,
1.144973f, 0.458621f, 0.069107f,
1.040043f, 0.458621f, 0.084588f,
0.935113f, 0.458621f, 0.100068f,
1.144973f, 0.458621f, 0.069107f,
1.120863f, 0.482367f, 0.062632f,
1.096752f, 0.506112f, 0.056157f,
0.997323f, 0.506112f, 0.082143f,
1.047037f, 0.506112f, 0.06915f,
1.096752f, 0.506112f, 0.056157f,
0.018717f, 0.553604f, 0.014841f,
0.008912f, 0.529858f, 0.015458f,
-0.000894f, 0.506112f, 0.016075f,
0.095157f, 0.529858f, 0.080854f,
0.047132f, 0.517985f, 0.048465f,
-0.000894f, 0.506112f, 0.016075f,
0.171597f, 0.506112f, 0.146867f,
0.085352f, 0.506112f, 0.081471f,
-0.000894f, 0.506112f, 0.016075f,
0.171597f, 0.506112f, 0.146867f,
0.239514f, 0.529858f, 0.1846f,
0.30743f, 0.553604f, 0.222334f,
0.095157f, 0.529858f, 0.080854f,
0.201294f, 0.541731f, 0.151594f,
0.30743f, 0.553604f, 0.222334f,
0.018717f, 0.553604f, 0.014841f,
0.163074f, 0.553604f, 0.118588f,
0.30743f, 0.553604f, 0.222334f,
0.30743f, 0.553604f, 0.222334f,
0.239514f, 0.529858f, 0.1846f,
0.171597f, 0.506112f, 0.146867f,
0.372378f, 0.529858f, 0.23381f,
0.271987f, 0.517985f, 0.190338f,
0.171597f, 0.506112f, 0.146867f,
0.437326f, 0.506112f, 0.245285f,
0.304461f, 0.506112f, 0.196076f,
0.171597f, 0.506112f, 0.146867f,
0.437326f, 0.506112f, 0.245285f,
0.479794f, 0.529858f, 0.247869f,
0.522263f, 0.553604f, 0.250453f,
0.30743f, 0.553604f, 0.222334f,
0.414847f, 0.553604f, 0.236393f,
0.522263f, 0.553604f, 0.250453f,
0.522263f, 0.553604f, 0.250453f,
0.479794f, 0.529858f, 0.247869f,
0.437326f, 0.506112f, 0.245285f,
0.579804f, 0.529858f, 0.2327f,
0.508565f, 0.517985f, 0.238992f,
0.437326f, 0.506112f, 0.245285f,
0.637344f, 0.506112f, 0.214946f,
0.537335f, 0.506112f, 0.230116f,
0.437326f, 0.506112f, 0.245285f,
0.637344f, 0.506112f, 0.214946f,
0.66988f, 0.529858f, 0.207594f,
0.702415f, 0.553604f, 0.200243f,
0.579804f, 0.529858f, 0.2327f,
0.641109f, 0.541731f, 0.216471f,
0.702415f, 0.553604f, 0.200243f,
0.522263f, 0.553604f, 0.250453f,
0.612339f, 0.553604f, 0.225348f,
0.702415f, 0.553604f, 0.200243f,
0.702415f, 0.553604f, 0.200243f,
0.66988f, 0.529858f, 0.207594f,
0.637344f, 0.506112f, 0.214946f,
0.815262f, 0.506112f, 0.148397f,
0.726303f, 0.506112f, 0.181671f,
0.637344f, 0.506112f, 0.214946f,
0.815262f, 0.506112f, 0.148397f,
0.844479f, 0.529858f, 0.137991f,
0.873697f, 0.553604f, 0.127586f,
0.702415f, 0.553604f, 0.200243f,
0.788056f, 0.553604f, 0.163914f,
0.873697f, 0.553604f, 0.127586f,
0.873697f, 0.553604f, 0.127586f,
0.844479f, 0.529858f, 0.137991f,
0.815262f, 0.506112f, 0.148397f,
0.93551f, 0.529858f, 0.104864f,
0.875386f, 0.517985f, 0.126631f,
0.815262f, 0.506112f, 0.148397f,
0.997323f, 0.506112f, 0.082143f,
0.906292f, 0.506112f, 0.11527f,
0.815262f, 0.506112f, 0.148397f,
0.997323f, 0.506112f, 0.082143f,
1.022927f, 0.529858f, 0.062675f,
1.048531f, 0.553604f, 0.043208f,
0.873697f, 0.553604f, 0.127586f,
0.961114f, 0.553604f, 0.085397f,
1.048531f, 0.553604f, 0.043208f,
1.048531f, 0.553604f, 0.043208f,
1.022927f, 0.529858f, 0.062675f,
0.997323f, 0.506112f, 0.082143f,
1.072642f, 0.529858f, 0.049682f,
1.034982f, 0.517985f, 0.065913f,
0.997323f, 0.506112f, 0.082143f,
1.096752f, 0.506112f, 0.056157f,
1.047037f, 0.506112f, 0.06915f,
0.997323f, 0.506112f, 0.082143f,
0.018717f, 0.553604f, 0.014841f,
0.098355f, 0.57735f, 0.081434f,
0.177993f, 0.601095f, 0.148027f,
0.028523f, 0.57735f, 0.014225f,
0.103258f, 0.589223f, 0.081126f,
0.177993f, 0.601095f, 0.148027f,
